job_title,company_name,location,start_date,ctc,experience,posted,skills_required
Business Development Associate,Break The Code,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-1 years,3 days ago,"['Pitching', 'Negotiation', 'Communication']"
IELTS/PTE/Spoken English Trainer,DePioneer Education Overseas,Delhi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago,"['Teaching', 'Communication', 'Presentation']"
Fashion Designer,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,"3 days ago


Be an early applicant","['Creativity', 'Adobe Illustrator', 'Fashion Sketching']"
Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-5 years,3 weeks ago,"['Salesforce', 'Negotiation', 'Lead Generation']"
Junior Python Developer,Extension Technologies Private Limited,Faridabad,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,2 weeks ago,"['Flask', 'PostgreSQL', 'Git']"
Social Media Manager,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Video Editor & Graphic Designer,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Business Development Executive,Physics Wallah,Kozhikode,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-1 years,"1 day ago


Be an early applicant","['Excel', 'Pitching', 'Negotiation']"
Sales Associate,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,52,000 - 4,00,000",0-4 years,4 days ago,"['Teamwork', 'Communication', 'Time Management']"
Domain Specialist Company Secretary,ClearTax,Bangalore,Starts Immediately,"₹ 7,00,000 - 10,00,000",0-2 years,2 days ago,"['Communication', 'Time Management', 'MS Office']"
Senior Tax Expert- Semi CA,ClearTax,"Delhi, Bangalore",Starts Immediately,"₹ 5,00,000 - 8,00,000",1-3 years,2 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Customer Success Manager,ClearTax,Bangalore,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 days ago,"['MS Office', 'Teamwork', 'Communication']"
Inside Sales Manager,ClearTax,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5 years,2 days ago,"['Communication', 'Time Management', 'Teamwork']"
Data Analyst,Media.net,Mumbai,Starts Immediately,"₹ 4,00,000 - 5,00,000",1 year,6 days ago,"['SQL', 'Python', 'Excel']"
Copywriter/Creative Strategist,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-5 years,1 week ago,"['MS Office', 'Communication', 'Teamwork']"
HTML Developer,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,50,000",1-3 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Trainee Business Associate,Porter,Nashik,Starts Immediately,"₹ 2,75,000",0-2 years,3 weeks ago,"['Time Management', 'Communication', 'Teamwork']"
Associate Product Manager,Cardekho.com,Jaipur,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,Few hours ago,"['Teamwork', 'Communication', 'MS Office']"
Finance Teacher,BrightChamps Tech Private Limited,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,Few hours ago,"['Communication', 'MS Office', 'Time Management']"
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000 - 2,17,995",0-2 years,Few hours ago,"['Salesforce', 'Negotiation', 'Lead Generation']"
Corporate Sales Executive,Godrej Properties Limited,Pune,Starts Immediately,"₹ 5,00,000 - 10,00,000",0-5 years,Few hours ago,"['Negotiation', 'Salesforce', 'Lead Generation']"
Content Writer,College Dunia,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,"['MS Office', 'Communication', 'Teamwork']"
Junior Operations Associate,Frontier,Work from home,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,1 day ago,"['Time Management', 'MS Office', 'Communication']"
Business Development Trainee,Kalvium,Bangalore,Starts Immediately,"₹ 5,00,000",0-5 years,1 day ago,"['Pitching', 'Market Research', 'Excel']"
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,"['Time Management', 'MS Office', 'Teamwork']"
Business Development Associate,Urban Company,Delhi,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 days ago,"['Pitching', 'Market Research', 'Negotiation']"
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,"['Excel', 'Market Research', 'Pitching']"
Program Manager,Kalvium,Bangalore,Starts Immediately,"₹ 7,00,000",0-5 years,3 days ago,"['MS Office', 'Communication', 'Time Management']"
Business Development Executive,Apollo Home Healthcare Limited,Delhi,Starts Immediately,"₹ 2,50,000 - 4,75,000",0-2 years,3 days ago,"['Negotiation', 'Pitching', 'Communication']"
Product Support Executive-Technology,InCred Financial Services Limited,Mumbai,Starts Immediately,"₹ 3,20,000 - 3,20,001",0-2 years,3 days ago,"['MS Office', 'Teamwork', 'Communication']"
Scheduling Executive,Viacom 18 Media Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,3 days ago,"['Teamwork', 'Communication', 'Time Management']"
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,20,000 - 2,60,000",0-2 years,3 days ago,"['Lead Generation', 'Salesforce', 'MS Excel']"
Business Development Associate,BYJUS The Learning App,"Chandigarh, Delhi, Gurgaon, Jaipur, Uttarkashi, Noida, Gujarat",Starts Immediately,"₹ 2,10,000 - 3,20,000",0-2 years,3 days ago,"['Excel', 'Market Research', 'Pitching']"
Academic Counselor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,60,000 - 4,00,000",0-2 years,3 days ago,"['Teamwork', 'Time Management', 'Communication']"
Business Development Associate,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,40,000 - 5,50,000",0-5 years,3 days ago,"['Market Research', 'Negotiation', 'Communication']"
Associate Center Manager,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,"['Teamwork', 'Communication', 'Time Management']"
Business Development Associate,BYJUs,"Keralassery, Andra, Bangalore, Tamil Nadu",Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,3 days ago,"['Excel', 'Negotiation', 'Market Research']"
Customer Success Associate,Vertex Cosmos,"Jaipur, Rajasthan",Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,3 days ago,"['Time Management', 'Teamwork', 'Communication']"
Academic Counsellor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,80,000 - 4,50,000",0-2 years,4 days ago,"['Time Management', 'MS Office', 'Teamwork']"
Business Development Associate,Netscribes (India) Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,4 days ago,"['Pitching', 'Market Research', 'Excel']"
Human Resources (HR) Associate,SBI Funds Management Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,4 days ago,"['Communication', 'MS Office', 'Time Management']"
Home Consultant,Pepperfry,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago,"['Teamwork', 'Time Management', 'Communication']"
Business Development Associate,BYJU'S The Learning App,"Gujarat, Rajasthan, Delhi",Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,4 days ago,"['Negotiation', 'Excel', 'Communication']"
RETAIL PARTNER (TEAM LEADER),Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,4 days ago,"['Teamwork', 'MS Office', 'Communication']"
Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago,"['CRM', 'Lead Generation', 'Negotiation']"
HR Executive,Mynd Solutions Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,5 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Relationship Manager,HiyaMee Private Limited,Mumbai,Starts Immediately,"₹ 3,75,000 - 4,00,000",0-2 years,5 days ago,"['Time Management', 'Communication', 'MS Office']"
Business Development Associate,BYJUs,Udaipur,Starts Immediately,"₹ 7,50,000 - 8,50,000",0-5 years,5 days ago,"['Pitching', 'Market Research', 'Excel']"
Junior Engineer,Enphase Solar Energy,"Delhi, Noida, Mumbai, Pune, Ghaziabad",Starts Immediately,"₹ 4,00,000",0-2 years,6 days ago,"['Time Management', 'Teamwork', 'MS Office']"
Executive - Product Support,Directi,"Bangalore, Mumbai",Starts Immediately,"₹ 5,00,000",0-5 years,6 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Omni Sport Leader (Women),Decathlon,Bangalore,Starts Immediately,"₹ 2,88,000 - 3,24,000",0-2 years,6 days ago,"['Teamwork', 'Time Management', 'MS Office']"
PRS Analyst,Viacom 18 Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,6 days ago,"['Time Management', 'MS Office', 'Communication']"
3D Generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago,"['MS Office', 'Communication', 'Teamwork']"
Associate Accountant,Team Management Services,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Ambernath, Kurla",Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,6 days ago,"['Communication', 'Time Management', 'Teamwork']"
Business Development Associate,Kalvium,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,"['Pitching', 'Communication', 'Market Research']"
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago,"['Market Research', 'Excel', 'Negotiation']"
Data Analyst Consultant,Educate Girls,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago,"['Power BI', 'Data Visualization', 'Python']"
